src_urn,src_corpus,src_id,dst_corpus,dst_id,dst_urn,raw_match,char_offset
urn:us-la:rs:14:79,rs,14:79,rs,14:2,urn:us-la:rs:14:2,R.S. 14:2,5803
urn:us-la:rs:14:79,rs,14:79,rs,9:361,urn:us-la:rs:9:361,R.S. 9:361,7129
urn:us-la:rs:14:79,rs,14:79,rs,9:372,urn:us-la:rs:9:372,R.S. 9:372,7141
urn:us-la:rs:14:79,rs,14:79,rs,46:2131,urn:us-la:rs:46:2131,R.S. 46:2131,7153
urn:us-la:rs:14:79,rs,14:79,rs,46:2151,urn:us-la:rs:46:2151,R.S. 46:2151,7175
urn:us-la:rs:14:79,rs,14:79,rs,46:2171,urn:us-la:rs:46:2171,R.S. 46:2171,7189
urn:us-la:rs:14:79,rs,14:79,rs,46:2181,urn:us-la:rs:46:2181,R.S. 46:2181,7211
urn:us-la:rs:14:79,rs,14:79,rs,9:361,urn:us-la:rs:9:361,R.S. 9:361,7503
urn:us-la:rs:14:79,rs,14:79,rs,9:372,urn:us-la:rs:9:372,R.S. 9:372,7515
urn:us-la:rs:14:79,rs,14:79,rs,46:2131,urn:us-la:rs:46:2131,R.S. 46:2131,7527
urn:us-la:rs:14:79,rs,14:79,rs,46:2151,urn:us-la:rs:46:2151,R.S. 46:2151,7549
urn:us-la:rs:14:79,rs,14:79,rs,46:2171,urn:us-la:rs:46:2171,R.S. 46:2171,7563
urn:us-la:rs:14:79,rs,14:79,rs,46:2181,urn:us-la:rs:46:2181,R.S. 46:2181,7585
urn:us-la:rs:14:79,rs,14:79,rs,9:361,urn:us-la:rs:9:361,R.S. 9:361,8088
urn:us-la:rs:14:79,rs,14:79,rs,9:372,urn:us-la:rs:9:372,R.S. 9:372,8108
urn:us-la:rs:14:79,rs,14:79,rs,46:2131,urn:us-la:rs:46:2131,R.S. 46:2131,8120
urn:us-la:rs:14:79,rs,14:79,rs,46:2151,urn:us-la:rs:46:2151,R.S. 46:2151,8142
urn:us-la:rs:14:79,rs,14:79,rs,46:2181,urn:us-la:rs:46:2181,R.S. 46:2181,8156
urn:us-la:rs:14:79,rs,14:79,crp,320,,Code of Criminal Procedure Article 320,686
urn:us-la:rs:14:79,rs,14:79,crp,320,,Code of Criminal Procedure Article 320,7698
urn:us-la:rs:14:79.1,rs,14:79.1,rs,14:93.3,urn:us-la:rs:14:93.3,R.S. 14:93.3,526
urn:us-la:rs:14:80,rs,14:80,rs,15:542,urn:us-la:rs:15:542,R.S. 15:542,658
urn:us-la:rs:14:80,rs,14:80,crp,893,,Code of Criminal Procedure Article 893,1361
urn:us-la:rs:14:81,rs,14:81,rs,15:541,urn:us-la:rs:15:541,R.S. 15:541,1659
urn:us-la:rs:14:81,rs,14:81,crp,893,,Code of Criminal Procedure Article 893,3196
urn:us-la:rs:14:81.1,rs,14:81.1,rs,40:961,urn:us-la:rs:40:961,R.S. 40:961,2258
urn:us-la:rs:14:81.1,rs,14:81.1,rs,14:66,urn:us-la:rs:14:66,R.S. 14:66,2536
urn:us-la:rs:14:81.2,rs,14:81.2,crp,893,,Code of Criminal Procedure Article 893,1950
